Date,District,RF,T max ,T min,Avg_tem
10/1/2014,Colombo,29.3,31,23.5,27.25
10/2/2014,Colombo,0,29.9,23.7,26.8
10/3/2014,Colombo,1,29.1,25.2,27.15
10/4/2014,Colombo,0,31,24.7,27.85
10/5/2014,Colombo,0,31.1,26.3,28.7
10/6/2014,Colombo,2.7,31.2,26.8,29
10/7/2014,Colombo,84.9,26.9,25.1,26
10/8/2014,Colombo,10.8,29.8,23.8,26.8
10/9/2014,Colombo,2.8,30.1,24.9,27.5
10/10/2014,Colombo,5.2,31,26.6,28.8
10/11/2014,Colombo,0,31,27,29
10/12/2014,Colombo,1.8,31.1,27.3,29.2
10/13/2014,Colombo,6.7,31.3,25.1,28.2
10/14/2014,Colombo,0,31.2,24.6,27.9
10/15/2014,Colombo,28.4,31,25.5,28.25
10/16/2014,Colombo,14.5,30.9,23.8,27.35
10/17/2014,Colombo,58.2,30.3,24.8,27.55
10/18/2014,Colombo,34,28.6,23.7,26.15
10/19/2014,Colombo,5.1,30.3,22.9,26.6
10/20/2014,Colombo,9.8,30.5,24.7,27.6
10/21/2014,Colombo,3,30.5,24.6,27.55
10/22/2014,Colombo,40.1,31,23.9,27.45
10/23/2014,Colombo,0,29.6,23.4,26.5
10/24/2014,Colombo,0,30.7,24.7,27.7
10/25/2014,Colombo,0.5,31.3,24.5,27.9
10/26/2014,Colombo,5.3,30.5,25,27.75
10/27/2014,Colombo,2,30.9,23.9,27.4
10/28/2014,Colombo,13.2,31.6,24.2,27.9
10/29/2014,Colombo,8.7,30.6,23.5,27.05
10/30/2014,Colombo,81.2,28.4,23.8,26.1
10/31/2014,Colombo,0.4,29.5,23.2,26.35
11/1/2014,Colombo,14.8,30.8,23.5,27.15
11/2/2014,Colombo,19.8,28,24.1,26.05
11/3/2014,Colombo,17.4,28,24.4,26.2
11/4/2014,Colombo,9,27.1,23,25.05
11/5/2014,Colombo,0,31.3,23,27.15
11/6/2014,Colombo,0,31.2,26.6,28.9
11/7/2014,Colombo,0,31,23.6,27.3
11/8/2014,Colombo,0,30.8,23.6,27.2
11/9/2014,Colombo,0,31,24.4,27.7
11/10/2014,Colombo,1,30.9,23.7,27.3
11/11/2014,Colombo,20.6,31.7,24.6,28.15
11/12/2014,Colombo,0,30.8,23.5,27.15
11/13/2014,Colombo,0.8,31.7,24.5,28.1
11/14/2014,Colombo,57.3,31.5,24,27.75
11/15/2014,Colombo,0,30.7,23.6,27.15
11/16/2014,Colombo,8.2,31.9,24.4,28.15
11/17/2014,Colombo,5.7,32.8,23.4,28.1
11/18/2014,Colombo,3.3,31.3,23.6,27.45
11/19/2014,Colombo,0.1,28.8,23.6,26.2
11/20/2014,Colombo,0.3,31.2,24.2,27.7
11/21/2014,Colombo,3.8,31,25.2,28.1
11/22/2014,Colombo,0.3,30.2,23.8,27
11/23/2014,Colombo,6,30.1,23.9,27
11/24/2014,Colombo,4.4,31,23.9,27.45
11/25/2014,Colombo,0.3,26.5,23.6,25.05
11/26/2014,Colombo,0.9,26.5,24.1,25.3
11/27/2014,Colombo,92.3,29.1,24.2,26.65
11/28/2014,Colombo,2.8,29,23.6,26.3
11/29/2014,Colombo,9.4,29.5,24,26.75
11/30/2014,Colombo,0.3,27.6,23.7,25.65
12/1/2014,Colombo,36.9,30.2,24.1,27.15
12/2/2014,Colombo,0.3,30.4,22.6,26.5
12/3/2014,Colombo,0,31.3,24.6,27.95
12/4/2014,Colombo,0,31.3,23.9,27.6
12/5/2014,Colombo,0,31.5,24.9,28.2
12/6/2014,Colombo,4.4,31.1,24.2,27.65
12/7/2014,Colombo,51.1,30.7,24.3,27.5
12/8/2014,Colombo,0,30.5,24.7,27.6
12/9/2014,Colombo,89.3,31,24.5,27.75
12/10/2014,Colombo,10.7,30.6,23.6,27.1
12/11/2014,Colombo,55.9,30.4,23.3,26.85
12/12/2014,Colombo,1,30.6,23.7,27.15
12/13/2014,Colombo,0.6,30.6,23.8,27.2
12/14/2014,Colombo,7.6,30.5,24.5,27.5
12/15/2014,Colombo,6.3,31,23.9,27.45
12/16/2014,Colombo,0.1,31.3,24.1,27.7
12/17/2014,Colombo,0.5,30.3,24.5,27.4
12/18/2014,Colombo,2.5,30.4,24.3,27.35
12/19/2014,Colombo,6,30.4,24.6,27.5
12/20/2014,Colombo,0.6,25.3,23.8,24.55
12/21/2014,Colombo,3.8,30.2,22.4,26.3
12/22/2014,Colombo,4.3,26.3,23.6,24.95
12/23/2014,Colombo,26.1,26.8,23.7,25.25
12/24/2014,Colombo,52.2,26.8,23.5,25.15
12/25/2014,Colombo,67.8,26.3,23.5,24.9
12/26/2014,Colombo,0,26.7,21.9,24.3
